Nombre,Fecha,Latitud,Longitud,Costo,Flyer,Categoría,,Numero,NombreC
El Pequeño Quijote,2018-03-25 17:00:00,22.7680109,-102.5611121,Gratuito,e31793e0b8f95ba35bfebf3348c1ba26f5415c1d,2,,2,Teatro
Grupo Universitario de Jazz,2018-03-25 18:00:00,22.7738039,-102.5766149,Gratuito,6b1fe60e6b154a38ace60a01595874177309c278,1,,3,Danza
Sacromonte,2018-03-25 19:00:00,22.775195,-102.5809887,Gratuito,44fa3f6ec976435d4bb19824851d087e9447a80d,3,,4,
Juan Pablo Vega,2018-03-25 19:00:00,22.7760653,-102.5740353,Gratuito,1bb8d22b84bfa0984d76638b9fd06c2fe61e800b,1,,5,
"¡Lava Dora, Lava!",2018-03-25 19:00:00,22.7680109,-102.5611121,Gratuito,9aef14472f51a76ec3dba01785bce505125d6009,2,,6,
"¡Lava Dora, Lava!",2018-03-25 20:30:00,22.7680109,-102.5611121,Gratuito,e2696fb32f643ea5cc220a5e2ccdca5ee7b599f9,2,,7,
Orquesta Filarmónica de Zacatecas,2018-03-25 20:00:00,22.7751717,-102.5751953,Gratuito,63252431dcc5204f8d631ff72c0a55fb2ba983c2,1,,8,
Caloncho,2018-03-25 20:30:00,22.7760653,-102.5740353,Gratuito,f4a95c5d173c6eaa6bbb3da67adc485f04c6c13b,1,,9,
Aghathe Iracema,2018-03-25 22:00:00,22.7740443,-102.5763689,Gratuito,aea73192c6a4b4ec24566ea7ea6c264af8f72c8b,1,,10,
Stabat Mater,2018-03-26 17:00:00,22.775713,-102.5745961,Gratuito,f8775cc2818699882090bd1f6f774c712d1a3f10,1,,,
Arquetipo,2018-03-26 18:00:00,22.7738039,-102.5766149,Gratuito,6a44d5388e2050743793fac8f0ace102054d82ad,1,,,
Moan Blues,2018-03-26 19:00:00,22.7738039,-102.5766149,Gratuito,74a55300cd4a3f9fb82d4eb5345302a274ffc2ef,1,,,
"Dios Salve a la Reina, Tributo a Queen",2018-03-26 20:30:00,22.7760653,-102.5740353,Gratuito,18a3e1064c8e1518395d0c44517f92c1979e5b2c,1,,,
Karolina Beimcik,2018-03-26 22:00:00,22.7740443,-102.5763689,Gratuito,9f588503fdea555c36a004c2670c05550a2741a0,1,,,
Chamacos ¡Al Aire!,2018-03-27 17:00:00,22.7680109,-102.5611121,Gratuito,6b5d17adde710dbef2c7ff91d5cffe8a1cb20f70,2,,,
Ensamble Aramara,2018-03-27 17:00:00,22.775713,-102.5745961,Gratuito,74caebddf43f528277bbae58eb2dd45349bda30b,1,,,
Vocumeri,2018-03-27 18:00:00,22.7738039,-102.5766149,Gratuito,a71d776e23a326e8137bc6c89def54c2579d9757,1,,,
Al-Andaluz de la UAZ,2018-03-27 19:00:00,22.775195,-102.5809887,Gratuito,8af3a1fa0434ee207c87dbd1dcbeee4ec8c8ac0d,3,,,
Radio Cafetal,2018-03-27 22:00:00,22.7740443,-102.5763689,Gratuito,c259e943f4ae30bd7d5e4dbfc906c5d00dfbfcfd,1,,,
cirque,2018-03-28 17:00:00,22.7680116,-102.554546,Gratuito,364f2b437633d0112955aa724749bca423458449,1,,,
Terrorismo Tropical,2018-03-28 17:00:00,22.7680116,-102.554546,Gratuito,13fb7533f39f7b8adf036f143fe85f15311ca505,1,,,
Hervivor,2018-03-28 17:00:00,22.7680116,-102.554546,Gratuito,d14e377e4a4ce5880c2919b88dbad6a7187c89eb,1,,,
Juan,2018-03-28 17:00:00,22.7680116,-102.554546,Gratuito,a6ea2542ae090dc61ccc924a8947ddc798b904b3,1,,,
Coro Santiago de Querétaro,2018-03-28 17:00:00,22.775713,-102.5745961,Gratuito,45437aeacba2a3e123194cc4505a8292020fbb54,1,,,
Arista 5,2018-03-28 19:00:00,22.7760653,-102.5740353,Gratuito,e4991ea27c0c4e01ed3a59faf76743e5c1c0b2f5,1,,,
Faredanz,2018-03-28 19:00:00,22.775195,-102.5809887,Gratuito,a6c0c0a1d65242e7edc2adfe6be3bf6392cf572b,3,,,
Porter,2018-03-28 20:00:00,22.7680116,-102.554546,Gratuito,adbeb1b77f0b56df9febf0edf8810f58c7eec9ea,1,,,
Las voces en la Muralla,2018-03-28 20:00:00,22.7751717,-102.5751953,Gratuito,129f1172a36e11c2c3156ff848d1701d2252632b,1,,,
